Num_Acc;mois;jour;hrmn;lum;agg;int;atm;col;com;adr;gps;lat;long;dep;
1001;10;6;1230;1;2;6;3;3;93;avenue georges clémencea;M;4846134;-250315;220;
1002;10;12;1145;1;1;1;3;1;142;le moulin provost;M;4842564;-250688;220;
1003;10;14;1615;1;2;1;7;6;93;rue du général de gaulle;M;4847154;-251557;220;
1004;11;18;1800;3;1;1;2;6;44;Belle Ville;M;4848340;-257653;220;
1005;11;18;830;1;2;3;2;3;160;rue Hingant;M;4844783;-248472;220;
1006;12;12;1900;5;2;1;2;6;93;Rue du Général LECLERC;M;4846744;-251421;220;
1007;1;10;1330;1;1;2;1;5;258;Meudon;M;4842171;-262729;220;
1008;2;5;1845;3;1;1;3;7;79;La Ville Es Bruyères;M;4837723;-275267;220;
1009;8;6;800;1;1;1;2;1;258;La Chenaie;M;4841839;-262574;220;
1010;8;29;2330;3;1;1;1;1;281;Saint Guihen;M;4840247;-277326;220;
1011;2;17;900;1;1;1;1;3;390;La Petite tournée;M;4871803;-302372;220;
1012;6;5;2330;5;2;1;1;1;162;avenue chateaubriand;M;4877781;-304403;220;
1013;7;12;1400;1;1;1;1;1;162;Penvern;M;4876703;-305742;220;
1014;11;7;800;2;1;1;2;1;162;guillardon;M;4875811;-299599;220;
1015;2;15;1600;1;2;9;1;6;54;parking magasin super u;M;4862248;-243859;220;
1016;3;23;100;3;1;1;2;7;242;;M;4862903;-242123;220;
1017;5;27;845;1;2;2;1;6;242;rue rollard;M;4864006;-239961;220;
1018;8;1;1800;1;1;6;1;2;389;;M;4848044;-264607;220;
1019;8;6;15;3;2;1;3;3;186;le cloître;M;4857699;-253365;220;
1020;8;10;1430;1;1;1;1;1;186;;M;4856439;-254518;220;
1021;9;7;445;3;2;1;1;6;389;rue louis marteil;M;4848414;-265841;220;
1022;11;1;1900;5;2;1;1;6;54;rue du parc des sports;M;4863037;-246332;220;
1023;1;7;1430;1;2;1;1;1;171;rue de la ville gourelle;M;4840891;-281826;220;
