Num_Acc;catr;voie;v1;v2;circ;nbv;pr;pr1;vosp;prof;plan;lartpc;larrout;surf;infra;situ;env1;
1001;3;791;;;2;2;6;3715;0;1;1;0;0;2;5;1;99;
1002;3;14;;;2;0;16;0;0;4;2;70;0;2;0;1;99;
1003;3;791;;;2;0;6;1313;0;1;3;70;0;1;0;1;99;
1004;4;;;;2;2;;;0;1;1;0;50;2;0;1;99;
1005;4;;;;2;0;;;0;2;1;0;58;2;0;1;3;
1006;3;14;;;1;1;17;1335;0;1;1;0;57;2;0;1;99;
1007;3;28;;;2;2;20;0;;1;0;;;2;5;1;99;
1008;3;27;;;2;2;5;1147;0;3;2;0;51;2;0;1;99;
1009;3;765;;;2;2;1;3241;0;0;1;0;0;2;0;1;99;
1010;3;28;;;2;2;24;0;0;2;1;0;0;1;0;3;99;
1011;3;7;;;3;0;30;674;0;0;1;41;117;1;0;1;0;
1012;3;15;;;2;2;17;1621;0;0;1;60;0;1;0;1;0;
1013;3;15;;;2;2;17;56;0;1;1;0;70;1;0;1;99;
1014;3;786;;;2;0;37;1400;0;3;2;0;0;2;0;3;0;
1015;6;;;;0;0;0;0;0;0;1;0;35;1;0;1;99;
1016;4;;;;0;1;;;0;2;4;0;0;2;0;1;99;
1017;4;0;;;2;0;0;0;0;0;1;0;34;1;0;1;99;
1018;3;765;;;0;2;5;0;0;1;2;0;0;1;0;1;0;
1019;3;58;;;2;2;2;800;0;0;3;0;0;2;0;1;99;
1020;3;791;;;2;2;0;2021;0;1;1;0;72;1;0;1;99;
1021;4;;;;2;2;;;0;1;2;0;60;1;0;1;99;
1022;6;;;;0;0;;;0;1;1;0;0;1;0;1;0;
1023;4;;;;2;2;0;0;0;2;1;0;0;1;0;1;3;
1024;3;790;2;;2;2;25;739;1;1;3;104;67;1;0;3;99;
1025;3;790;;;2;2;21;300;0;2;1;23;136;1;0;1;99;
1026;3;7;;;2;2;15;1560;0;0;1;0;77;1;0;1;99;
1027;3;27;;;2;0;10;379;0;2;1;0;0;0;0;0;99;
1028;3;22;;;2;2;16;1440;0;1;2;0;35;0;5;1;99;
1029;4;;;;2;0;;;0;2;0;0;0;1;0;1;0;
1030;3;52;;;2;2;17;0;;1;1;;;1;5;1;99;
1031;3;117;;;2;0;0;283;0;2;3;0;0;1;0;1;0;
1032;3;786;;;2;2;7;769;0;1;1;0;80;0;0;1;0;
1033;3;768;;;2;2;22;377;0;1;1;0;70;1;0;1;0;
1034;3;13;;;2;2;5;990;0;1;1;0;63;1;0;3;99;
1035;3;786;;;2;0;6;1560;0;3;3;0;0;1;0;1;99;
1036;3;786;;;2;0;7;600;0;2;1;0;61;1;0;1;99;
1037;4;0;;;2;2;0;0;0;4;1;0;0;1;0;1;0;
1038;3;2;;;2;0;10;50;0;2;2;0;6;2;0;4;0;
1039;4;;;;2;0;;;0;1;3;0;70;2;0;3;99;
1040;3;8;;;2;2;15;286;0;1;3;0;750;2;0;1;99;
1041;3;767;;;2;2;23;290;0;1;1;0;80;2;0;1;99;
1042;3;9;;;2;2;1;644;0;1;1;0;0;1;0;1;99;
1043;3;767;;;2;2;16;570;0;2;1;0;60;1;0;1;0;
1044;3;9;;;2;2;1;1330;0;1;1;0;70;2;0;3;99;
1045;3;787;;;2;0;15;956;0;4;1;75;0;1;5;1;99;
1046;4;;2;;2;0;;;1;0;1;0;67;2;0;1;3;
1047;3;8;;;2;0;19;471;0;4;4;0;0;1;5;1;0;
1048;4;;;;2;2;0;0;0;1;1;0;69;1;0;3;99;
1049;4;0;;A;2;0;0;0;0;1;1;0;4;2;0;1;0;
1050;3;11;;;2;2;29;143;1;2;1;0;7;2;0;1;99;
1051;3;788;;;2;0;0;0;0;2;1;0;80;1;0;1;0;
1052;3;11;;;4;2;0;0;0;1;1;0;0;1;5;1;0;
1053;4;;;;1;1;;;0;2;1;0;39;1;0;1;0;
1054;3;65;;;2;2;19;400;0;0;1;0;63;1;0;3;99;
1055;3;788;;;2;0;17;750;0;1;3;0;0;1;2;3;99;
1056;3;38;;;2;2;9;1700;0;1;1;80;0;1;0;1;0;
1057;4;;;;2;2;;;0;1;2;0;112;1;0;1;99;
1058;3;788;;;2;2;15;193;0;1;1;0;70;1;0;1;0;
1059;3;784;;;2;2;0;0;0;1;1;0;70;2;0;1;0;
1060;3;784;;;2;2;0;0;0;2;1;50;0;2;0;1;99;
1061;3;43;;;2;2;0;0;0;4;1;60;0;1;0;1;0;
1062;3;56;;;2;2;9;100;0;1;1;0;75;1;0;1;99;
1063;3;784;;;2;2;0;0;0;1;2;0;0;2;0;3;99;
1064;3;40;;;2;0;0;0;0;1;1;0;65;2;0;1;0;
1065;3;765;;;2;2;88;30;0;1;2;0;70;2;0;3;99;
1066;3;765;;;1;2;0;0;0;1;0;603;92;1;5;0;99;
1067;3;2;;;2;2;9;600;0;0;1;0;66;1;0;1;0;
1068;4;8;;;2;2;0;0;0;2;2;0;0;1;0;1;99;
1069;3;143;;;0;2;0;0;0;1;1;0;0;1;0;1;3;
1070;3;7;;;2;2;26;400;0;1;1;0;65;1;0;1;0;
1071;3;765;;;2;2;79;200;0;0;2;0;60;1;0;3;0;
1072;4;0;;;2;0;0;0;0;0;3;0;64;1;0;1;0;
1073;3;39;;;2;3;6;852;0;0;3;0;114;1;0;1;0;
1074;3;7;;A;2;2;0;0;0;2;3;0;60;2;0;1;0;
1075;9;0;;;2;2;0;0;0;2;1;0;75;2;0;1;3;
1076;3;783;;;2;0;0;0;0;4;3;0;70;2;0;1;3;
1077;4;0;;;2;1;0;0;0;0;1;0;60;0;0;1;0;
1078;3;783;;;2;2;0;0;0;4;1;0;0;1;5;1;0;
1079;4;0;;;2;0;0;0;0;1;1;0;0;1;0;1;99;
1080;3;44;;;2;0;0;0;0;1;2;0;70;1;0;1;99;
1081;4;0;;;2;2;0;0;0;1;1;0;115;1;5;1;99;
1082;4;16;;;2;2;0;0;0;0;1;0;55;1;0;1;0;
1083;3;783;;;2;2;43;650;0;4;3;0;70;2;0;1;0;
1084;3;234;;;2;2;0;0;0;1;1;0;60;1;0;1;99;
1085;4;1;;;1;1;0;0;0;1;1;0;70;1;0;1;3;
1086;3;53;;;2;2;0;0;1;1;1;0;70;1;0;1;0;
1087;4;0;;;3;2;0;0;0;2;1;0;0;2;0;1;99;
1088;9;0;;;2;2;0;0;0;1;2;0;175;1;6;1;0;
1089;9;0;;;1;0;0;0;0;1;2;0;0;2;0;1;99;
1090;9;0;;;2;2;0;0;0;0;0;0;100;0;0;0;99;
1091;4;0;;;2;2;0;0;0;1;1;0;65;1;0;1;99;
1092;3;25;;;2;2;2;500;0;1;1;0;60;2;0;1;99;
1093;9;0;;;3;0;0;0;0;2;1;0;0;1;5;1;0;
1094;3;30;;;2;2;0;0;0;1;3;0;70;1;0;1;0;
1095;4;0;;;2;2;0;0;0;1;1;0;78;1;0;1;99;
1096;3;764;;;2;2;49;50;0;0;3;0;71;1;0;0;0;
1097;9;0;2;;2;0;0;0;0;0;0;0;0;1;0;0;99;
1098;3;788;;;2;0;0;0;0;1;1;0;69;1;0;1;0;
1099;3;10;;;2;0;0;0;0;1;1;0;69;1;0;1;0;
1100;3;770;;;2;2;77;100;0;1;1;0;70;1;0;1;99;
1101;3;10;2;;2;2;24;10;0;1;1;0;72;1;2;1;99;
1102;4;0;;;0;0;0;0;0;1;1;0;0;2;0;1;3;
1103;4;0;;;2;0;0;0;0;2;3;0;0;1;0;1;0;
1104;4;0;;;2;0;0;0;0;0;2;0;50;1;0;1;0;
1105;3;2;;D;2;0;0;0;0;0;1;0;0;2;0;3;0;
1106;3;32;;;2;2;0;0;0;0;1;0;42;1;0;1;99;
1107;3;2;;;2;0;0;0;0;2;2;0;0;1;0;1;0;
1108;9;0;;;2;0;0;0;0;2;1;0;0;1;0;1;0;
1109;3;38;;;2;0;0;0;0;2;3;0;0;1;0;1;0;
1110;3;5;;;2;2;0;0;0;1;1;0;65;1;0;1;0;
1111;3;26;2;;2;1;0;0;3;1;1;0;8;1;5;1;0;
1112;3;28;;;2;2;0;0;0;1;1;0;64;1;0;1;0;
1113;3;26;;;2;0;0;0;0;0;0;0;0;1;0;1;0;
1114;3;168;;;2;2;0;0;0;1;1;0;0;1;0;1;0;
1115;3;27;;;2;0;0;0;0;2;4;0;0;1;0;1;0;
1116;4;0;;;2;2;0;0;0;1;1;0;52;1;0;1;0;
1117;9;0;;;2;0;0;0;0;1;1;0;72;1;5;1;0;
1118;4;0;;;2;0;0;0;0;1;1;0;47;1;0;1;99;
1119;3;68;;;2;1;0;0;0;1;3;0;66;1;0;3;99;
1120;9;0;;;2;2;0;0;0;0;3;0;60;1;0;1;0;
1121;4;4;;;2;0;0;0;0;1;1;0;47;8;0;1;0;
1122;3;26;;;2;1;15;300;0;1;1;0;65;2;0;3;0;
1123;4;26;;;2;2;0;0;0;1;1;0;54;1;0;3;99;
1124;5;0;;;2;2;0;0;3;0;2;0;79;9;0;1;0;
1125;3;770;;;2;0;0;0;0;2;4;0;71;1;0;1;0;
1126;4;0;;;2;2;0;0;0;2;1;0;0;2;0;1;99;
1127;3;54;;;2;0;0;0;0;1;1;0;0;2;0;1;0;
1128;3;764;;;2;2;8;120;0;1;2;0;74;2;0;3;0;
1129;4;0;;;2;0;0;0;0;4;1;40;0;1;0;1;99;
