Num_Acc;senc;catv;occutc;obs;obsm;choc;manv;num_veh;
1001;0;7;0;0;2;1;9;A01;
1001;0;2;0;0;2;5;2;B02;
1002;0;7;0;0;2;3;13;A01;
1002;0;7;0;0;2;2;1;B02;
1003;0;7;0;0;1;2;1;A01;
1004;0;10;0;0;1;2;1;A01;
1005;0;2;0;0;2;7;1;B02;
1005;0;10;0;0;2;1;15;A01;
1006;0;7;0;0;1;2;1;A01;
1007;0;7;0;0;0;3;23;C03;
1007;0;7;0;0;2;1;15;A01;
1007;0;7;0;0;2;1;1;B02;
1008;0;7;0;13;0;5;1;A01;
1009;0;7;0;0;0;5;13;A01;
1009;0;10;0;0;2;1;1;B02;
1010;0;7;0;0;0;1;1;A01;
1010;0;7;0;0;0;1;1;B02;
1011;0;7;0;0;2;7;13;A01;
1011;0;7;0;0;2;1;1;B02;
1012;0;7;0;0;2;1;5;A01;
1012;0;2;0;0;2;1;1;B02;
1013;0;3;0;0;2;1;13;A01;
1013;0;7;0;0;2;1;1;B02;
1014;0;7;0;0;2;1;17;A01;
1014;0;7;0;0;2;1;1;B02;
1015;0;7;0;0;1;2;2;A01;
1016;0;7;0;0;0;0;23;A01;
1017;0;10;0;0;1;2;1;A01;
1018;0;7;0;0;2;3;2;A01;
1018;0;1;0;0;2;4;2;B02;
1019;0;7;0;0;2;7;13;A01;
1019;0;7;0;0;2;1;1;B02;
1020;0;7;0;0;2;3;1;A01;
1020;0;7;0;0;2;3;1;B02;
1021;0;7;0;6;0;1;1;A01;
1022;1;7;0;0;1;0;4;A01;
1023;0;7;0;0;2;7;16;A01;
1023;0;1;0;0;2;8;2;B02;
1024;0;7;0;8;0;9;1;A01;
1025;0;7;0;0;2;2;1;A01;
1025;0;7;0;0;2;3;1;B02;
1025;0;10;0;0;2;2;1;C03;
1026;0;7;0;0;2;3;13;A01;
1026;0;7;0;0;2;3;1;B02;
1027;0;7;0;0;0;9;14;A01;
1028;0;7;0;0;1;2;1;A01;
1029;0;10;0;0;1;0;1;A01;
1030;0;33;0;0;2;1;1;A01;
1030;0;7;0;0;2;6;19;B02;
1031;0;7;0;0;2;3;13;A01;
1031;0;7;0;0;2;2;1;B02;
1032;0;7;0;0;2;6;19;A01;
1032;0;33;0;0;2;1;1;B02;
1033;0;7;0;0;2;2;17;A01;
1033;0;1;0;0;2;4;1;B02;
1034;0;33;0;13;0;1;1;A01;
1035;0;7;0;0;2;8;1;A01;
1035;0;7;0;0;2;8;1;B02;
1035;0;33;0;0;2;1;13;C03;
1035;0;33;0;0;2;1;13;D04;
1036;0;7;0;0;1;2;1;A01;
1037;0;7;0;0;2;2;19;A01;
1037;0;1;0;0;2;1;1;B02;
1038;0;7;0;6;0;1;1;A01;
1039;0;14;0;13;0;1;1;A01;
1040;0;7;0;0;2;3;13;A01;
1040;0;7;0;0;2;3;1;B02;
1040;0;10;0;0;2;1;1;C03;
1041;0;7;0;0;1;2;1;A01;
1042;0;10;0;0;2;1;1;A01;
1042;0;30;0;0;2;8;9;B02;
1043;0;7;0;0;1;1;1;A01;
1044;0;7;0;13;0;1;1;A01;
1045;0;33;0;0;2;3;1;A01;
1045;0;7;0;0;2;3;15;B02;
1046;0;7;0;0;1;3;1;A01;
1047;0;2;0;0;2;2;9;A01;
1047;0;7;0;0;2;3;1;B02;
1048;0;99;0;13;0;0;0;A01;
1049;0;33;0;0;2;1;1;A01;
1049;0;7;0;0;2;2;1;B02;
1050;0;13;0;0;2;7;10;A01;
1050;0;10;0;0;2;3;2;B02;
1051;0;33;0;0;2;1;17;A01;
1051;0;7;0;0;2;8;15;B02;
1052;0;7;0;0;2;6;1;A01;
1052;0;1;0;0;2;2;15;B02;
1053;0;7;0;0;2;4;20;A01;
1053;0;30;0;0;2;7;1;B02;
1054;0;7;0;0;1;2;14;A01;
1055;0;30;0;6;0;1;13;A01;
1056;0;7;0;0;1;2;1;A01;
1057;0;7;0;8;0;5;1;A01;
1058;0;7;0;6;0;1;1;A01;
1059;0;7;0;0;1;3;1;A01;
1060;0;7;0;0;1;2;1;A01;
1061;0;7;0;13;0;1;1;A01;
1062;0;7;0;0;2;1;13;A01;
1062;0;7;0;0;2;1;1;B02;
1062;0;7;0;0;2;6;2;C03;
1063;0;7;0;8;0;7;1;A01;
1064;0;1;0;0;2;4;1;A01;
